VaccinationDate,age_group,first_dose,second_dose,,
08/01/2021,70-79,6023,0,,
08/01/2021,90+,656,0,,
08/01/2021,20-29,5611,0,,
08/01/2021,0-19,1759,0,,
08/01/2021,80-89,2870,0,,
09/01/2021,50-59,10207,0,,
09/01/2021,70-79,3360,0,,
09/01/2021,90+,360,0,,
09/01/2021,40-49,12875,0,,
09/01/2021,60-69,5559,0,,
09/01/2021,30-39,6756,0,,
09/01/2021,20-29,3345,0,,
09/01/2021,0-19,930,0,,
09/01/2021,80-89,1583,0,,
10/01/2021,50-59,7727,1571,,
10/01/2021,70-79,3566,360,,
10/01/2021,60-69,5697,1245,,
10/01/2021,30-39,5855,949,,
10/01/2021,40-49,9306,1529,,
10/01/2021,0-19,621,<15,,
10/01/2021,80-89,1796,46,,
10/01/2021,20-29,3171,264,,
10/01/2021,90+,383,<15,,
11/01/2021,60-69,2664,5458,,
11/01/2021,50-59,5210,3023,,
11/01/2021,0-19,229,34,,
11/01/2021,20-29,1762,739,,
11/01/2021,80-89,907,932,,
11/01/2021,70-79,1722,3822,,
11/01/2021,30-39,3364,2127,,
11/01/2021,40-49,5358,2933,,
11/01/2021,90+,212,136,,
12/01/2021,0-19,237,66,,
12/01/2021,20-29,2438,1189,,
12/01/2021,50-59,7688,3923,,
12/01/2021,80-89,896,2811,,
12/01/2021,60-69,3484,10917,,
12/01/2021,90+,192,391,,
12/01/2021,40-49,4527,3936,,
12/01/2021,30-39,2972,2991,,
12/01/2021,70-79,1837,9361,,
13/01/2021,0-19,486,109,,
13/01/2021,20-29,3803,1747,,
13/01/2021,50-59,22994,5033,,
13/01/2021,70-79,3237,16932,,
13/01/2021,80-89,1550,5162,,
13/01/2021,90+,256,1011,,
13/01/2021,30-39,5147,3627,,
13/01/2021,60-69,6818,18382,,
13/01/2021,40-49,7997,4787,,
14/01/2021,20-29,5517,1828,,
14/01/2021,0-19,766,139,,
14/01/2021,80-89,1116,7175,,
14/01/2021,90+,220,1301,,
14/01/2021,30-39,7176,3741,,
14/01/2021,70-79,2487,21047,,
14/01/2021,50-59,23362,5415,,
14/01/2021,40-49,10224,5111,,
14/01/2021,60-69,5731,23055,,
15/01/2021,80-89,568,4346,,
15/01/2021,20-29,3178,701,,
15/01/2021,0-19,542,99,,
15/01/2021,50-59,11944,2651,,
15/01/2021,70-79,1231,11937,,
15/01/2021,60-69,2720,12168,,
15/01/2021,40-49,5960,2081,,
15/01/2021,90+,118,752,,
15/01/2021,30-39,4743,1357,,
16/01/2021,0-19,449,55,,
16/01/2021,20-29,2074,323,,
16/01/2021,90+,79,632,,
16/01/2021,80-89,368,3108,,
16/01/2021,30-39,3407,758,,
16/01/2021,70-79,790,8971,,
16/01/2021,40-49,8015,1329,,
16/01/2021,60-69,1887,9167,,
16/01/2021,50-59,12644,1811,,
17/01/2021,30-39,6709,4484,,
17/01/2021,70-79,2384,25530,,
17/01/2021,0-19,1518,254,,
17/01/2021,90+,204,1926,,
17/01/2021,80-89,1074,9996,,
17/01/2021,20-29,11297,2486,,
17/01/2021,60-69,4830,26139,,
17/01/2021,50-59,22838,7331,,
17/01/2021,40-49,17533,6284,,
18/01/2021,20-29,16612,4622,,
18/01/2021,80-89,899,12945,,
18/01/2021,30-39,7209,7890,,
18/01/2021,70-79,2024,31930,,
18/01/2021,90+,158,2742,,
18/01/2021,60-69,4200,35295,,
18/01/2021,40-49,19471,11241,,
18/01/2021,50-59,17010,12598,,
18/01/2021,0-19,1944,552,,
19/01/2021,30-39,8953,9221,,
19/01/2021,70-79,2052,33969,,
19/01/2021,40-49,24421,13428,,
19/01/2021,60-69,4132,38306,,
19/01/2021,80-89,890,15417,,
19/01/2021,90+,219,4131,,
19/01/2021,50-59,15247,15222,,
19/01/2021,20-29,15041,6636,,
19/01/2021,0-19,1733,800,,
20/01/2021,60-69,3864,39328,,
20/01/2021,40-49,29122,14463,,
20/01/2021,30-39,12264,10428,,
20/01/2021,90+,154,3646,,
20/01/2021,70-79,1876,33304,,
20/01/2021,50-59,13869,18236,,
20/01/2021,20-29,12658,7858,,
20/01/2021,80-89,839,14744,,
20/01/2021,0-19,1863,963,,
21/01/2021,50-59,11832,25013,,
21/01/2021,40-49,25712,18374,,
21/01/2021,30-39,13166,13061,,
21/01/2021,70-79,2117,34055,,
